actor|imdbid
Tim Curry|0160127
Crispin Glover|0160127
Matt LeBlanc|0160127
LL Cool J|0160127
Tom Green|0160127
Luke Wilson|0160127
Sean Whalen|0160127
Tim Dunaway|0160127
Alex Trebek|0160127
Raliegh Wilson|0160127
Mark Ryan|0160127
Bobby Ore|0160127
Guy Oseary|0160127
Joe Duer|0160127
Matthew Frauman|0160127
Benicio Del Toro|0181865
Jacob Vargas|0181865
Andrew Chavez|0181865
Michael Saucedo|0181865
Tomas Milian|0181865
Jose Yenque|0181865
Emilio Rivera|0181865
Michael O'Neill|0181865
Michael Douglas|0181865
Russell G. Jones|0181865
Lorene Hetherington|0181865
Eric Collins|0181865
Beau Holden|0181865
Peter Stader|0181865
James Lew|0181865
Jeremy Fitzgerald|0181865
Russell Solberg|0181865
Luis Guzmán|0181865
Don Cheadle|0181865
Don Snell|0181865
Enrique Murciano|0181865
Eddie Murphy|0144528
Janet Jackson|0144528
Larry Miller|0144528
John Ales|0144528
Richard Gant|0144528
Anna Maria Horsford|0144528
Melinda McGraw|0144528
Jamal Mixon|0144528
Gabriel Williams|0144528
Chris Elliott|0144528
Duffy Taylor|0144528
Earl Boen|0144528
Nikki Cox|0144528
Freda Payne|0144528
Sylvester Jenkins|0144528
Wanda Sykes|0144528
George King|0144528
Charles Walker|0144528
Enya Flack|0144528
Rainell Saunders|0144528
Andrea C. Robinson|0144528
Martin Lawrence|0208003
Nia Long|0208003
Paul Giamatti|0208003
Jascha Washington|0208003
Terrence Howard|0208003
Anthony Anderson|0208003
Ella Mitchell|0208003
Carl Wright|0208003
Phyllis Applegate|0208003
Starletta DuPois|0208003
Jessie Mae Holmes|0208003
Nicole Prescott|0208003
Octavia Spencer|0208003
Tichina Arnold|0208003
Cedric the Entertainer|0208003
Philip Tan|0208003
Edwin Hodge|0208003
Aldis Hodge|0208003
Brian Palermo|0208003
Brian Paul Stuart|0208003
Sarah Zinsser|0208003
Denzel Washington|0210945
Will Patton|0210945
Wood Harris|0210945
Ryan Hurst|0210945
Donald Faison|0210945
Craig Kirkwood|0210945
Ethan Suplee|0210945
Kip Pardue|0210945
Hayden Panettiere|0210945
Nicole Ari Parker|0210945
Kate Bosworth|0210945
Earl Poitier|0210945
Ryan Gosling|0210945
Burgess Jenkins|0210945
Neal Ghant|0210945
David Jefferson|0210945
Preston Wigasi Brant|0210945
John Michael Weatherly|0210945
Gregory Alan Williams|0210945
Brett Rice|0210945
Richard Fullerton|0210945
Mel Gibson|0187393
Heath Ledger|0187393
Joely Richardson|0187393
Jason Isaacs|0187393
Chris Cooper|0187393
Tchéky Karyo|0187393
Rene Auberjonois|0187393
Lisa Brenner|0187393
Tom Wilkinson|0187393
Donal Logue|0187393
Leon Rippy|0187393
Adam Baldwin|0187393
Jay Arlen Jones|0187393
Joey D. Vieira|0187393
Gregory Smith|0187393
Mika Boorem|0187393
Skye McCole Bartusiak|0187393
Trevor Morgan|0187393
Bryan Chafin|0187393
Logan Lerman|0187393
Mary Jo Deschanel|0187393
Phil Daniels|0120630
Lynn Ferguson|0120630
Mel Gibson|0120630
Tony Haygarth|0120630
Jane Horrocks|0120630
Miranda Richardson|0120630
Julia Sawalha|0120630
Timothy Spall|0120630
Imelda Staunton|0120630
Benjamin Whitrow|0120630
John Sharian|0120630
Jo Allen|0120630
Lisa Kay|0120630
Laura Strachan|0120630
Sandra Bullock|0212346
Michael Caine|0212346
Benjamin Bratt|0212346
Candice Bergen|0212346
William Shatner|0212346
Ernie Hudson|0212346
John DiResta|0212346
Heather Burns|0212346
Melissa De Sousa|0212346
Steve Monroe|0212346
Deirdre Quinn|0212346
Wendy Raquel Robinson|0212346
Asia De Marcos|0212346
Ken Thomas|0212346
Gabriel Folse|0212346
Christopher Shea|0212346
Mary Ashleigh Green|0212346
Cody Linley|0212346
Eric Ian Goldberg|0212346
Danny Kamin|0212346
Konstantin Selivanov|0212346
Nicolas Cage|0187078
Giovanni Ribisi|0187078
Angelina Jolie|0187078
T.J. Cross|0187078
William Lee Scott|0187078
Scott Caan|0187078
James Duval|0187078
Will Patton|0187078
Delroy Lindo|0187078
Timothy Olyphant|0187078
Chi McBride|0187078
Robert Duvall|0187078
Christopher Eccleston|0187078
Vinnie Jones|0187078
Grace Zabriskie|0187078
Michael Owen|0187078
Jaime Bergman|0187078
Holiday Hadley|0187078
Harry Van Gorkum|0187078
Frances Fisher|0187078
Grace Una|0187078
Bruce Willis|0217869
Samuel L. Jackson|0217869
Robin Wright|0217869
Spencer Treat Clark|0217869
Charlayne Woodard|0217869
Eamonn Walker|0217869
Leslie Stefanson|0217869
Johnny Hiram Jamison|0217869
Michaelia Carroll|0217869
Bostin Christopher|0217869
Elizabeth Lawrence|0217869
Davis Duffield|0217869
Laura Regan|0217869
Chance Kelly|0217869
Michael Kelly|0217869
Firdous Bamji|0217869
Johanna Day|0217869
James Handy|0217869
Sally Parrish|0217869
Richard Council|0217869
Damian Young|0217869
Jim Carrey|0183505
Renée Zellweger|0183505
Anthony Anderson|0183505
Mongo Brownlee|0183505
Jerod Mixon|0183505
Chris Cooper|0183505
Michael Bowman|0183505
Richard Jenkins|0183505
Robert Forster|0183505
Mike Cerrone|0183505
Rob Moran|0183505
Daniel Greene|0183505
Tony Cox|0183505
Andrew Phillips|0183505
Jeremy Maleek Leggett|0183505
Justin Chandler|0183505
Zen Gesner|0183505
Steve Sweeney|0183505
Traylor Howard|0183505
Lenny Clarke|0183505
Herbie Flynn|0183505
Clint Eastwood|0186566
Tommy Lee Jones|0186566
Donald Sutherland|0186566
James Garner|0186566
James Cromwell|0186566
Marcia Gay Harden|0186566
William Devane|0186566
Loren Dean|0186566
Courtney B. Vance|0186566
Barbara Babcock|0186566
Rade Serbedzija|0186566
Blair Brown|0186566
Jay Leno|0186566
Nils Allen Stewart|0186566
Deborah Jolly|0186566
Toby Stephens|0186566
Eli Craig|0186566
John Asher|0186566
Matt McColm|0186566
Billie Worley|0186566
Chris Wylde|0186566
David Spade|0120917
John Goodman|0120917
Eartha Kitt|0120917
Patrick Warburton|0120917
Wendie Malick|0120917
Kellyann Kelso|0120917
Eli Russell Linnetz|0120917
Tom Jones|0120917
Stephen J. Anderson|0120917
Bob Bergen|0120917
Rodger Bumpass|0120917
Robert Clotworthy|0120917
Jennifer Darling|0120917
Patti Deutsch|0120917
John Fiedler|0120917
Miriam Flynn|0120917
Geri Lee Gorowski|0120917
Jess Harnell|0120917
Sherry Lynn|0120917
Danny Mann|0120917
Mickie McGowan|0120917
Liev Schreiber|0134084
Beth Toussaint|0134084
Roger Jackson|0134084
Kelly Rutherford|0134084
Neve Campbell|0134084
Courteney Cox|0134084
Julie Janney|0134084
Richmond Arquette|0134084
Patrick Dempsey|0134084
Lynn McRee|0134084
Nancy O'Dell|0134084
Ken Taylor|0134084
Scott Foley|0134084
Roger Corman|0134084
Lance Henriksen|0134084
Josh Pais|0134084
Deon Richmond|0134084
Matt Keeslar|0134084
Jenny McCarthy|0134084
Emily Mortimer|0134084
Parker Posey|0134084
Matthew McConaughey|0141926
Bill Paxton|0141926
Harvey Keitel|0141926
Jon Bon Jovi|0141926
David Keith|0141926
Thomas Kretschmann|0141926
Jake Weber|0141926
Jack Noseworthy|0141926
Tom Guiry|0141926
Will Estes|0141926
Terrence 'T.C.' Carson|0141926
Erik Palladino|0141926
Dave Power|0141926
Derk Cheetwood|0141926
Matthew Settle|0141926
Rebecca Tilney|0141926
Carolyna De Laurentiis|0141926
Dina De Laurentiis|0141926
Burnell Tucker|0141926
Rob Allyn|0141926
Carsten Voigt|0141926
Elizabeth Daily|0213203
Tara Strong|0213203
Cheryl Chase|0213203
Christine Cavanaugh|0213203
Cree Summer|0213203
Kath Soucie|0213203
Michael Bell|0213203
Tress MacNeille|0213203
Casey Kasem|0213203
Joe Alaskey|0213203
Debbie Reynolds|0213203
Jack Riley|0213203
Susan Sarandon|0213203
John Lithgow|0213203
Marlene Mitsuko Yamane|0213203
Darrell Kunitomi|0213203
Goh Misawa|0213203
Julia Kato|0213203
Melanie Chartoff|0213203
Margaret Smith|0213203
Phillipe Simon|0213203
Nicolas Cage|0218967
Téa Leoni|0218967
Don Cheadle|0218967
Jeremy Piven|0218967
Saul Rubinek|0218967
Josef Sommer|0218967
Makenzie Vega|0218967
Jake Milkovich|0218967
Ryan Milkovich|0218967
Lisa Thornhill|0218967
Harve Presnell|0218967
Mary Beth Hurt|0218967
Amber Valletta|0218967
Francine York|0218967
Ruth Williamson|0218967
John F. O'Donohue|0218967
Daniel Whitner|0218967
Lucy Lin|0218967
Lisa LoCicero|0218967
Wass Stevens|0218967
Thomas James Foster|0218967
Elisabeth Shue|0164052
Kevin Bacon|0164052
Josh Brolin|0164052
Kim Dickens|0164052
Greg Grunberg|0164052
Joey Slotnick|0164052
Mary Randle|0164052
William Devane|0164052
Rhona Mitra|0164052
Pablo Espinosa|0164052
Margot Rose|0164052
Jimmie F. Skaggs|0164052
Jeffrey Scaperrotta|0164052
Sarah Bowles|0164052
Kelli Scott|0164052
Steve Altes|0164052
J. Patrick McCormack|0164052
Darius A. Sultan|0164052
Tom Woodruff Jr.|0164052
David Vogt|0164052
Gary A. Hecker|0164052
Alfred Molina|0241303
Carrie-Anne Moss|0241303
Aurelien Parent Koenig|0241303
Antonio Gil|0241303
Hélène Cardona|0241303
Harrison Pratt|0241303
Gaelan Connell|0241303
Élisabeth Commelin|0241303
Ron Cook|0241303
Guillaume Tardieu|0241303
Hugh O'Conor|0241303
John Wood|0241303
Lena Olin|0241303
Peter Stormare|0241303
Leslie Caron|0241303
Juliette Binoche|0241303
Victoire Thivisol|0241303
Judi Dench|0241303
Michèle Gleizer|0241303
Dominique MacAvoy|0241303
Arnaud Adam|0241303
Samuel L. Jackson|0162650
Vanessa Williams|0162650
Jeffrey Wright|0162650
Christian Bale|0162650
Busta Rhymes|0162650
Dan Hedaya|0162650
Toni Collette|0162650
Richard Roundtree|0162650
Ruben Santiago-Hudson|0162650
Josef Sommer|0162650
Lynne Thigpen|0162650
Philip Bosco|0162650
Pat Hingle|0162650
Lee Tergesen|0162650
Daniel von Bargen|0162650
Francisco 'Coqui' Taveras|0162650
Sonja Sohn|0162650
Peter McRobbie|0162650
Zach Grenier|0162650
Richard Cocchiaro|0162650
Ron Castellano|0162650
Bruce Willis|0219854
Spencer Breslin|0219854
Emily Mortimer|0219854
Lily Tomlin|0219854
Jean Smart|0219854
Chi McBride|0219854
Daniel von Bargen|0219854
Dana Ivey|0219854
Susan Dalian|0219854
Stanley Anderson|0219854
Juanita Moore|0219854
Esther Scott|0219854
Deborah May|0219854
Vernee Watson|0219854
Jan Hoag|0219854
Melissa McCarthy|0219854
Elizabeth Arlen|0219854
Alexandra Barreto|0219854
John Apicella|0219854
Brian McGregor|0219854
Reiley McClendon|0219854
Chris O'Donnell|0190865
Robin Tunney|0190865
Stuart Wilson|0190865
Augie Davis|0190865
Temuera Morrison|0190865
Roshan Seth|0190865
Alejandro Valdes-Rochin|0190865
Nicholas Lea|0190865
Rod Brown|0190865
Scott Glenn|0190865
Steve Le Marquand|0190865
Ben Mendelsohn|0190865
Izabella Scorupco|0190865
Bill Paxton|0190865
Ed Viesturs|0190865
Robert Taylor|0190865
Alexander Siddig|0190865
Clinton Beavan|0190865
David Hayman|0190865
Robert Mammone|0190865
Nicole Whippy|0190865
Breckin Meyer|0215129
Seann William Scott|0215129
Amy Smart|0215129
Paulo Costanzo|0215129
DJ Qualls|0215129
Tom Green|0215129
Rachel Blanchard|0215129
Anthony Rapp|0215129
Fred Ward|0215129
Andy Dick|0215129
Ethan Suplee|0215129
Horatio Sanz|0215129
Rhoda Griffis|0215129
Marla Sucharetza|0215129
Edmund Lyndeck|0215129
Ellen Albertini Dow|0215129
Jessica Cauffiel|0215129
Kohl Sudduth|0215129
Wendell B. Harris Jr.|0215129
Rini Bell|0215129
Jaclyn DeSantis|0215129
Kirsten Dunst|0204946
Eliza Dushku|0204946
Jesse Bradford|0204946
Gabrielle Union|0204946
Clare Kramer|0204946
Nicole Bilderback|0204946
Tsianina Joelson|0204946
Rini Bell|0204946
Nathan West|0204946
Huntley Ritter|0204946
Shamari Fears|0204946
Natina Reed|0204946
Brandi Williams|0204946
Richard Hillman|0204946
Lindsay Sloane|0204946
Bianca Kajlich|0204946
Holmes Osborne|0204946
Sherry Hursey|0204946
Cody McMains|0204946
Ian Roberts|0204946
David E. Taylor|0204946
Glenn Close|0211181
Gérard Depardieu|0211181
Ioan Gruffudd|0211181
Alice Evans|0211181
Tim McInnerny|0211181
Eric Idle|0211181
Ben Crompton|0211181
Carol MacReady|0211181
Ian Richardson|0211181
Jim Carter|0211181
Ron Cook|0211181
Timothy West|0211181
David Horovitch|0211181
Dick Brannick|0211181
Mike Hayley|0211181
Nicholas Hutchison|0211181
Tim Willcox|0211181
June Watson|0211181
Tony Bluto|0211181
Tessa Vale|0211181
John Styles|0211181
Tommy Lee Jones|0160797
Samuel L. Jackson|0160797
Guy Pearce|0160797
Ben Kingsley|0160797
Bruce Greenwood|0160797
Anne Archer|0160797
Blair Underwood|0160797
Philip Baker Hall|0160797
Dale Dye|0160797
Amidou|0160797
Mark Feuerstein|0160797
Richard McGonagle|0160797
Baoan Coleman|0160797
Nicky Katt|0160797
Ryan Hurst|0160797
Gordon Clapp|0160797
Hayden Tank|0160797
Ahmed Abounouom|0160797
William Gibson|0160797
Tuan Tran|0160797
John Speredakos|0160797
Jennifer Lopez|0209958
Colton James|0209958
Dylan Baker|0209958
Marianne Jean-Baptiste|0209958
Gerry Becker|0209958
Musetta Vander|0209958
Patrick Bauchau|0209958
Vincent D'Onofrio|0209958
Catherine Sutherland|0209958
Vince Vaughn|0209958
James Gammon|0209958
Jake Weber|0209958
Dean Norris|0209958
Tara Subkoff|0209958
Lauri Johnson|0209958
John Cothran|0209958
Jack Conley|0209958
Kamar Reyes de los|0209958
Christopher Janney|0209958
Nicholas Cascone|0209958
Joe La Piana|0209958
Gary Sinise|0183523
Tim Robbins|0183523
Don Cheadle|0183523
Connie Nielsen|0183523
Jerry O'Connell|0183523
Peter Outerbridge|0183523
Kavan Smith|0183523
Jill Teed|0183523
Elise Neal|0183523
Kim Delaney|0183523
Marilyn Norry|0183523
Freda Perry|0183523
Lynda Boyd|0183523
Patricia Harras|0183523
Robert Bailey Jr.|0183523
Chaynade Knowles|0183523
Jeffrey Ballard|0183523
Anson Woods|0183523
Britt McKillip|0183523
Jillian Marie|0183523
Jody Thompson|0183523
Piper Perabo|0200550
Adam Garcia|0200550
John Goodman|0200550
Maria Bello|0200550
Izabella Miko|0200550
Tyra Banks|0200550
Bridget Moynahan|0200550
Melanie Lynskey|0200550
Del Pentecost|0200550
Michael Weston|0200550
LeAnn Rimes|0200550
Jeremy Rowley|0200550
Ellen Cleghorne|0200550
John Fugelsang|0200550
Bud Cort|0200550
Robert Ahlers|0200550
Orlando Sims|0200550
Barry Michael Duff|0200550
William Ritter III|0200550
Chanda Bailey|0200550
Freez Luv|0200550
Chris Elliott|0184907
Mark Webber|0184907
Jean Smart|0184907
Schuyler Fisk|0184907
Iggy Pop|0184907
Pam Grier|0184907
John Schneider|0184907
Chevy Chase|0184907
Zena Grey|0184907
Josh Peck|0184907
Jade Yorker|0184907
Damian Young|0184907
Connor Matheus|0184907
J. Adam Brown|0184907
Emmanuelle Chriqui|0184907
David Paetkau|0184907
Rozonda 'Chilli' Thomas|0184907
Tim Paleniuk|0184907
Josh Sealy|0184907
Orest Kinasewich|0184907
Andrea Engel|0184907
Ice Cube|0195945
Mike Epps|0195945
Justin Pierce|0195945
John Witherspoon|0195945
Don 'D.C.' Curry|0195945
Jacob Vargas|0195945
Lobo Sebastian|0195945
Rolando Molina|0195945
Lisa Rodríguez|0195945
Tommy 'Tiny' Lister|0195945
Kym Whitley|0195945
Amy Hill|0195945
Tamala Jones|0195945
of Rage The Lady|0195945
Carmen Serano|0195945
Maria Arcé|0195945
Vanessa White|0195945
Clifton Powell|0195945
Michael Blackson|0195945
Ronn Riser|0195945
David Earl Waterman|0195945
Bruce Willis|0190138
Matthew Perry|0190138
Rosanna Arquette|0190138
Michael Clarke Duncan|0190138
Natasha Henstridge|0190138
Amanda Peet|0190138
Kevin Pollak|0190138
Harland Williams|0190138
Carmen Ferland|0190138
Serge Christianssens|0190138
Renee Madeline Le Guerrier|0190138
Jean-Guy Bouchard|0190138
Howard Bilerman|0190138
Johnny Goar|0190138
Deano Clavet|0190138
Stephanie Biddle|0190138
Charles Biddle Sr.|0190138
Geoff Lapp|0190138
Gary Gold|0190138
Robert Burns|0190138
France Arbour|0190138
Jackie Chan|0184894
Owen Wilson|0184894
Lucy Liu|0184894
Brandon Merrill|0184894
Roger Yuan|0184894
Xander Berkeley|0184894
Rongguang Yu|0184894
Ya Hi Cui|0184894
Eric Chen|0184894
Jason Connery|0184894
Walton Goggins|0184894
Adrien Dorval|0184894
Rafael Báez|0184894
Stacy Grant|0184894
Kate Luyben|0184894
Henry O|0184894
Russell Badger|0184894
Simon Baker|0184894
Sam Simon|0184894
A.C. Peterson|0184894
Rad Daly|0184894
Jet Li|0165929
Aaliyah|0165929
Isaiah Washington|0165929
Russell Wong|0165929
Delroy Lindo|0165929
D.B. Woodside|0165929
Henry O|0165929
Jon Kit Lee|0165929
Edoardo Ballerini|0165929
Anthony Anderson|0165929
DMX|0165929
Matthew Harrison|0165929
Terry Chen|0165929
Derek Lowe|0165929
Ronin Wong|0165929
Byron Lawson|0165929
Kendall Saunders|0165929
Benz Antoine|0165929
Keith Dallas|0165929
Taayla Markell|0165929
Tseng Chang|0165929
Devon Sawa|0195714
Ali Larter|0195714
Kerr Smith|0195714
Kristen Cloke|0195714
Daniel Roebuck|0195714
Roger Guenveur Smith|0195714
Chad Donella|0195714
Seann William Scott|0195714
Tony Todd|0195714
Amanda Detmer|0195714
Brendan Fehr|0195714
Forbes Angus|0195714
Lisa Marie Caruk|0195714
Christine Chatelain|0195714
Barbara Tyson|0195714
Robert Wisden|0195714
P. Lynn Johnson|0195714
Larry Gilman|0195714
Guy Fauchon|0195714
Randy Stone|0195714
Mark Holden|0195714
Sean Connery|0181536
Rob Brown|0181536
F. Murray Abraham|0181536
Anna Paquin|0181536
Busta Rhymes|0181536
April Grace|0181536
Michael Pitt|0181536
Michael Nouri|0181536
Richard Easton|0181536
Glenn Fitzgerald|0181536
Lil' Zane|0181536
Stephanie Berry|0181536
Fly Williams III|0181536
Damany Mathis|0181536
Damion Lee|0181536
Tom Kearns|0181536
Matthew Noah Word|0181536
Charles Bernstein|0181536
Matt Malloy|0181536
Matt Damon|0181536
Jimmy Bobbitt|0181536
Kevin Kline|0138749
Kenneth Branagh|0138749
Rosie Perez|0138749
Armand Assante|0138749
Edward James Olmos|0138749
Jim Cummings|0138749
Frank Welker|0138749
Tobin Bell|0138749
Duncan Marjoribanks|0138749
Elijah Chiang|0138749
Cyrus Shaki-Khan|0138749
Elton John|0138749
Robert De Niro|0203019
Cuba Gooding Jr.|0203019
Charlize Theron|0203019
Aunjanue Ellis|0203019
Hal Holbrook|0203019
Michael Rapaport|0203019
Powers Boothe|0203019
David Keith|0203019
Holt McCallany|0203019
David Conrad|0203019
Joshua Leonard|0203019
Carl Lumbly|0203019
Lonette McKee|0203019
Glynn Turman|0203019
Dennis Troutman|0203019
Joshua Feinman|0203019
Theo Nicholas Pagones|0203019
Ryan Honey|0203019
Chris Warren|0203019
Lester B. Hanson|0203019
Jack Frazier|0203019
Ashton Kutcher|0242423
Seann William Scott|0242423
Jennifer Garner|0242423
Marla Sokoloff|0242423
Kristy Swanson|0242423
David Herman|0242423
Hal Sparks|0242423
Charlie O'Connell|0242423
John Toles-Bey|0242423
Christian Middelthon|0242423
Dave Bannick|0242423
Turtle|0242423
Bob Clendenin|0242423
Mary Lynn Rajskub|0242423
Kevin Christy|0242423
Kristoffer Ryan Winters|0242423
Bill Chott|0242423
Michael Bower|0242423
John Melendez|0242423
Teressa Tunney|0242423
Linda Porter|0242423
Jim Cummings|0220099
Nikita Hopkins|0220099
Ken Sansom|0220099
John Fiedler|0220099
Peter Cullen|0220099
Andre Stojka|0220099
Kath Soucie|0220099
Tom Attenborough|0220099
John Hurt|0220099
Geoff Koch|0220099
Frank Welker|0220099
George Clooney|0190590
John Turturro|0190590
Tim Blake Nelson|0190590
John Goodman|0190590
Holly Hunter|0190590
Chris Thomas King|0190590
Charles Durning|0190590
Del Pentecost|0190590
Michael Badalucco|0190590
J.R. Horne|0190590
Brian Reddy|0190590
Wayne Duvall|0190590
Ed Gale|0190590
Ray McKinnon|0190590
Daniel von Bargen|0190590
Royce D. Applegate|0190590
Frank Collison|0190590
Quinn Gasaway|0190590
Lee Weaver|0190590
Millford Fortenberry|0190590
Stephen Root|0190590
Dennis Quaid|0186151
Jim Caviezel|0186151
